code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_date,report_type,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh688111,2020-03-31,224.02,231.35,221.02,224.5,0.020455,1395144.0,316260000.0,14961000000.000004,103494000000.0,0.020935,224.4997264254801,2020-04-29,2020-03-31,223.47487422552925,62.06957446058932,143.61848320464006,16.738863920942176,223.14643596517234
sh688111,2020-04-01,226.5,235.8,222.0,226.36,0.0082849999999999,1167005.0,268470000.0,15085000000.0,104352000000.0,0.017512,226.35970665891517,2020-04-29,2020-03-31,225.3275559470349,62.58415206786304,144.80912863905732,16.877634721608576,224.99520418714374
sh688111,2020-04-02,223.61,246.0,223.51,244.5,0.080138,1426997.0,334060000.0,16294000000.0,112714000000.0,0.0214129999999999,244.49972083114733,2020-04-29,2020-03-31,243.38364517224483,67.59918464597817,156.41306467938043,18.230083946751275,243.02586986029308
sh688111,2020-04-03,244.0,247.05,235.24,241.96,-0.010389,1162444.0,279840000.0,16125000000.0,111544000000.0,0.017443,241.95961323143254,2020-04-29,2020-03-31,240.8572610065553,66.89748790878674,154.78945726881142,18.040851036751636,240.5010740983145
sh688111,2020-04-07,247.46,253.96,245.45,250.0,0.033229,1095787.0,273390000.0,16661000000.000004,115250000000.0,0.016442,249.9996892194998,2020-04-29,2020-03-31,248.85963683394442,69.12012731736061,159.93226843425478,18.640250322613735,248.49268428952738
sh688111,2020-04-08,247.5,254.36,236.67,237.39,-0.05044,1400700.0,342480000.0,15819999999.999996,109436999999.99995,0.021018,237.3897048952682,2020-04-29,2020-03-31,236.30761020560837,65.63383404104113,151.8655762311456,17.700070061222373,235.9587132939636
sh688111,2020-04-09,238.26,241.5,226.51,234.64,-0.011584,1696921.0,394100000.0,15637000000.0,108169000000.0,0.025463,234.6397825537614,2020-04-29,2020-03-31,233.5696143747587,64.87336270534993,150.10597435370852,17.494986873291147,233.2253675591663
sh688111,2020-04-10,233.0,233.0,218.57,223.25,-0.048542,1596318.0,359180000.0,14878000000.0,102918000000.0,0.023953,223.24989822903672,2020-04-29,2020-03-31,222.23111586703595,61.724123759202776,142.81916878712914,16.645703103711586,221.90414176710925
sh688111,2020-04-13,221.0,226.55,215.81,219.4,-0.017245,1230469.0,270320000.0,14621000000.0,101143000000.0,0.0184639999999999,219.399953734077,2020-04-29,2020-03-31,218.39835356438735,60.65958383739527,140.3560036984454,16.358618988113847,218.07740484233545
sh688111,2020-04-14,223.0,226.63,217.61,225.2,0.026436,1010811.0,226270000.0,15008000000.000004,103817000000.0,0.015168,225.20001091099104,2020-04-29,2020-03-31,224.17232899947604,62.26329073931824,144.06670986584842,16.79110514310447,223.84249911674743
sh688111,2020-04-15,227.7,240.0,226.31,237.29,0.053686,1816798.0,425720000.0,15813999999.999996,109391000000.0,0.027261,237.29009869675846,2020-04-29,2020-03-31,236.20828228114544,65.60624596419431,151.80174209363614,17.692630134846326,235.85970752432908
sh688111,2020-04-16,235.93,239.95,232.03,236.68,-0.002571,965315.0,227940000.0,15772999999.999996,109108999999.99995,0.014485,236.6800258530091,2020-04-29,2020-03-31,235.59935891813305,65.43711905830713,151.4104110767297,17.64702015141051,235.25331221628406
sh688111,2020-04-17,239.0,247.38,239.0,244.31,0.032238,1307799.0,318950000.0,16281000000.0,112627000000.0,0.019625,244.31011652645842,2020-04-29,2020-03-31,243.19578583684736,67.54700719628958,156.2923348975689,18.21601278164874,242.83740849551262
sh688111,2020-04-20,244.86,251.47,240.5,251.42,0.029102,1092680.0,269250000.0,16755000000.000004,115905000000.0,0.016396,251.4200295376114,2020-04-29,2020-03-31,250.27398010618944,69.5129575420276,160.84121104444515,18.74618840470755,249.90446275754903
sh688111,2020-04-21,248.68,258.0,244.0,252.98,0.006205,989469.0,248850000.0,16859000000.0,116624000000.0,0.0148479999999999,252.98009082089231,2020-04-29,2020-03-31,251.8265187516003,69.94417117795977,161.83896636769225,18.86247768871587,251.45511994895963
sh688111,2020-04-22,248.13,250.5,241.01,248.34,-0.018341,1160007.0,285780000.0,16550000000.0,114484999999.99995,0.017406,248.34018297514632,2020-04-29,2020-03-31,247.20777026407046,68.66132560458159,158.8706789734981,18.516521112229352,246.84318159397574
sh688111,2020-04-23,246.0,256.33,246.0,253.2,0.01957,883811.0,224410000.0,16874000000.0,116725000000.0,0.013262,253.20020035596994,2020-04-29,2020-03-31,252.04460832487777,70.00474499886263,161.97912393048497,18.87881317923721,251.67390265776987
sh688111,2020-04-24,253.19,257.73,245.01,248.01,-0.020498,925962.0,230740000.0,16528000000.0,114333000000.0,0.013894,248.01010264907325,2020-04-29,2020-03-31,246.87955625280148,68.57016500282683,158.65974877998832,18.491937007682395,246.5150910010909
sh688111,2020-04-27,240.0,249.7,240.0,247.7,-0.00125,646951.0,160380000.0,16507000000.0,114190000000.0,0.009708,247.70009002076193,2020-04-29,2020-03-31,246.57077596588385,68.48440206828121,158.4613078742521,18.468808540904664,246.20694713733954
